File Name,Character Count
00001.txt,1275
00002.txt,3655
00003.txt,3003
00004.txt,3987
00005.txt,4953
00006.txt,6304
00007.txt,10365
00008.txt,5357
00009.txt,9244
00010.txt,9150
00011.txt,4856
00012.txt,5137
00013.txt,7258
00014.txt,6560
00015.txt,5725
00016.txt,7949
00017.txt,6794
00018.txt,7606
00019.txt,7346
00020.txt,6139
00021.txt,6302
00022.txt,6750
00023.txt,7448
00024.txt,7238
00025.txt,7401
00026.txt,6840
00027.txt,4711
00028.txt,6554
00029.txt,8090
00030.txt,4552
00031.txt,7509
00032.txt,6723
00033.txt,4892
00034.txt,7148
00035.txt,5386
00036.txt,6577
00037.txt,13426
00038.txt,8016
00039.txt,11897
00040.txt,9551
00041.txt,11732
00042.txt,9332
00043.txt,11535
00044.txt,7151
00045.txt,7703
00046.txt,6125
00047.txt,5425
00048.txt,11490
00049.txt,8317
00050.txt,6309
00051.txt,3345
00052.txt,10865
00053.txt,3783
00054.txt,7654
00055.txt,9142
00056.txt,6591
00057.txt,7145
00058.txt,10719
00059.txt,6119
00060.txt,8980
00061.txt,8708
00062.txt,9150
00063.txt,6132
00064.txt,7573
00065.txt,7800
00066.txt,9310
00067.txt,10354
00068.txt,10808
00069.txt,8563
00070.txt,11240
00071.txt,10984
00072.txt,8187
00073.txt,14600
00074.txt,6829
00075.txt,10907
00076.txt,16037
00077.txt,8370
00078.txt,11920
00079.txt,7195
00080.txt,10571
00081.txt,9635
00082.txt,11762
00083.txt,9666
00084.txt,11410
00085.txt,11423
00086.txt,13699
00087.txt,12875
00088.txt,11975
00089.txt,9692
00090.txt,17438
00091.txt,14225
00092.txt,12225
00093.txt,9436
00094.txt,7890
00095.txt,18771
00096.txt,14500
00097.txt,10693
00098.txt,9992
00099.txt,16598
00100.txt,21696
00101.txt,17616
00102.txt,8739
00103.txt,8569
00104.txt,10680
00105.txt,15206
00106.txt,12088
00107.txt,9724
00108.txt,14364
00109.txt,8113
00110.txt,11056
00111.txt,9810
00112.txt,9168
00113.txt,9575
00114.txt,8318
00115.txt,8975
00116.txt,12409
00117.txt,11015
00118.txt,10020
00119.txt,8279
00120.txt,13611
00121.txt,11617
00122.txt,11374
00123.txt,7303
00124.txt,11992
00125.txt,17330
00126.txt,12763
00127.txt,9373
00128.txt,10945
00129.txt,14634
00130.txt,12667
00131.txt,20714
00132.txt,11004
00133.txt,13199
00134.txt,10136
00135.txt,13653
00136.txt,19809
00137.txt,13897
00138.txt,15852
00139.txt,13826
00140.txt,11902
00141.txt,15484
00142.txt,10787
00143.txt,8508
00144.txt,9275
00145.txt,11440
00146.txt,10753
00147.txt,10093
00148.txt,12836
00149.txt,14131
00150.txt,11046
00151.txt,12787
00152.txt,18314
00153.txt,13905
00154.txt,12542
00155.txt,12867
00156.txt,15063
00157.txt,13390
00158.txt,14036
00159.txt,10951
00160.txt,15781
00161.txt,8783
00162.txt,4384
00163.txt,11030
00164.txt,10476
00165.txt,18102
00166.txt,18187
00167.txt,16197
00168.txt,11264
00169.txt,9980
00170.txt,13111
00171.txt,8808
00172.txt,13407
00173.txt,10094
00174.txt,10861
00175.txt,11203
00176.txt,14068
00177.txt,7566
00178.txt,10876
00179.txt,15268
00180.txt,13134
00181.txt,12293
00182.txt,9766
00183.txt,11432
00184.txt,14454
00185.txt,12251
00186.txt,10721
00187.txt,13065
00188.txt,12910
00189.txt,13997
00190.txt,10390
00191.txt,12300
00192.txt,9010
00193.txt,5554
00194.txt,10748
00195.txt,9206
00196.txt,9571
00197.txt,7529
00198.txt,7686
00199.txt,11053
00200.txt,8986
00201.txt,11141
00202.txt,11551
00203.txt,12474
00204.txt,11761
00205.txt,11706
00206.txt,10868
00207.txt,13328
00208.txt,9244
00209.txt,9899
00210.txt,8774
00211.txt,9815
00212.txt,8942
00213.txt,10630
00214.txt,13219
00215.txt,11064
00216.txt,9081
00217.txt,11160
00218.txt,9076
00219.txt,10978
00220.txt,8451
00221.txt,7514
00222.txt,8878
00223.txt,9634
00224.txt,11260
00225.txt,10119
00226.txt,9566
00227.txt,11944
00228.txt,11851
00229.txt,10488
